,d_0*,i_0,d_0
484,17.2462,1.764910537,0.386
485,17.2484,1.766898608,0.3838
486,17.2506,1.76888668,0.3816
487,17.2526,1.771371769,0.3796
488,17.2548,1.773856859,0.3774
489,17.257,1.775347913,0.3752
490,17.2592,1.77833002,0.373
491,17.2612,1.781312127,0.371
492,17.2634,1.784294235,0.3688
493,17.2656,1.786282306,0.3666
494,17.2676,1.788767396,0.3646
495,17.2698,1.792246521,0.3624
496,17.272,1.793737575,0.3602
497,17.274,1.797713718,0.3582
498,17.2762,1.799701789,0.356
499,17.2782,1.802186879,0.354
500,17.2804,1.804671968,0.3518
501,17.2824,1.807654076,0.3498
502,17.2846,1.810139165,0.3476
503,17.2866,1.811630219,0.3456
504,17.2888,1.81361829,0.3434
505,17.2908,1.817097416,0.3414
506,17.293,1.819085487,0.3392
507,17.295,1.822067594,0.3372
508,17.297,1.823558648,0.3352
509,17.2992,1.826043738,0.333
510,17.3012,1.829522863,0.331
511,17.3032,1.832007952,0.329
512,17.3052,1.834493042,0.327
513,17.3074,1.836978131,0.3248
514,17.3094,1.838966203,0.3228
515,17.3114,1.842942346,0.3208
516,17.3134,1.846421471,0.3188
517,17.3156,1.847912525,0.3166
518,17.3176,1.850397614,0.3146
519,17.3196,1.853379722,0.3126
520,17.3216,1.855864811,0.3106
521,17.3236,1.859840954,0.3086
522,17.3256,1.861332008,0.3066
523,17.3276,1.86332008,0.3046
524,17.3296,1.866799205,0.3026
525,17.3316,1.869284294,0.3006
526,17.3336,1.872266402,0.2986
527,17.3356,1.875248509,0.2966
528,17.3376,1.877236581,0.2946
529,17.3396,1.87972167,0.2926
530,17.3416,1.881709742,0.2906
531,17.3436,1.884194831,0.2886
532,17.3456,1.887176938,0.2866
533,17.3476,1.889662028,0.2846
534,17.3494,1.893141153,0.2828
535,17.3514,1.894632207,0.2808
536,17.3534,1.897614314,0.2788
537,17.3554,1.900099404,0.2768
538,17.3574,1.903578529,0.2748
539,17.3592,1.9055666,0.273
540,17.3612,1.90805169,0.271
541,17.3632,1.911033797,0.269
542,17.365,1.913021869,0.2672
543,17.367,1.916998012,0.2652
544,17.369,1.919483101,0.2632
545,17.3708,1.921968191,0.2614
546,17.3728,1.923956262,0.2594
547,17.3748,1.927932406,0.2574
548,17.3766,1.930417495,0.2556
549,17.3786,1.932405567,0.2536
550,17.3804,1.93638171,0.2518
551,17.3824,1.937375746,0.2498
552,17.3842,1.940357853,0.248
553,17.3862,1.942842942,0.246
554,17.388,1.946322068,0.2442
555,17.39,1.948310139,0.2422
556,17.3918,1.950795229,0.2404
557,17.3938,1.954274354,0.2384
558,17.3956,1.957256461,0.2366
559,17.3974,1.960238569,0.2348
560,17.3994,1.961729622,0.2328
561,17.4012,1.965705765,0.231
562,17.4032,1.969184891,0.229
563,17.405,1.972166998,0.2272
564,17.4068,1.975149105,0.2254
